CNPJ_CIA;DT_REFER;VERSAO;DENOM_CIA;CD_CVM;GRUPO_DFP;MOEDA;ESCALA_MOEDA;ORDEM_EXERC;DT_FIM_EXERC;CD_CONTA;DS_CONTA;VL_CONTA
00.776.574/0001-56;2019-12-31;2;B2W - COMPANHIA DIGITAL;20990;DF Consolidado - Balanço Patrimonial Ativo;REAL;MILHAR;PENÚLTIMO;2018-12-31;1.02.02;Investimentos;0.00
00.776.574/0001-56;2019-12-31;2;B2W - COMPANHIA DIGITAL;20990;DF Consolidado - Balanço Patrimonial Ativo;REAL;MILHAR;ÚLTIMO;2019-12-31;1.02.02;Investimentos;65693.00
00.776.574/0001-56;2019-12-31;2;B2W - COMPANHIA DIGITAL;20990;DF Consolidado - Balanço Patrimonial Ativo;REAL;MILHAR;PENÚLTIMO;2018-12-31;1.02.02.01;Participações Societárias;0.00
00.776.574/0001-56;2019-12-31;2;B2W - COMPANHIA DIGITAL;20990;DF Consolidado - Balanço Patrimonial Ativo;REAL;MILHAR;ÚLTIMO;2019-12-31;1.02.02.01;Participações Societárias;65693.00
00.776.574/0001-56;2019-12-31;2;B2W - COMPANHIA DIGITAL;20990;DF Consolidado - Balanço Patrimonial Ativo;REAL;MILHAR;PENÚLTIMO;2018-12-31;1.02.02.01.01;Participações em Coligadas;0.00
00.776.574/0001-56;2019-12-31;2;B2W - COMPANHIA DIGITAL;20990;DF Consolidado - Balanço Patrimonial Ativo;REAL;MILHAR;ÚLTIMO;2019-12-31;1.02.02.01.01;Participações em Coligadas;65693.00
00.776.574/0001-56;2019-12-31;2;B2W - COMPANHIA DIGITAL;20990;DF Consolidado - Balanço Patrimonial Ativo;REAL;MILHAR;PENÚLTIMO;2018-12-31;1.02.02.01.04;Participações em Controladas em Conjunto;0.00
00.776.574/0001-56;2019-12-31;2;B2W - COMPANHIA DIGITAL;20990;DF Consolidado - Balanço Patrimonial Ativo;REAL;MILHAR;ÚLTIMO;2019-12-31;1.02.02.01.04;Participações em Controladas em Conjunto;0.00
00.776.574/0001-56;2019-12-31;2;B2W - COMPANHIA DIGITAL;20990;DF Consolidado - Balanço Patrimonial Ativo;REAL;MILHAR;PENÚLTIMO;2018-12-31;1.02.02.01.05;Outros Investimentos;0.00
00.776.574/0001-56;2019-12-31;2;B2W - COMPANHIA DIGITAL;20990;DF Consolidado - Balanço Patrimonial Ativo;REAL;MILHAR;ÚLTIMO;2019-12-31;1.02.02.01.05;Outros Investimentos;0.00
00.776.574/0001-56;2019-12-31;2;B2W - COMPANHIA DIGITAL;20990;DF Consolidado - Balanço Patrimonial Ativo;REAL;MILHAR;PENÚLTIMO;2018-12-31;1.02.02.02;Propriedades para Investimento;0.00
00.776.574/0001-56;2019-12-31;2;B2W - COMPANHIA DIGITAL;20990;DF Consolidado - Balanço Patrimonial Ativo;REAL;MILHAR;ÚLTIMO;2019-12-31;1.02.02.02;Propriedades para Investimento;0.00
00.776.574/0001-56;2019-12-31;2;B2W - COMPANHIA DIGITAL;20990;DF Consolidado - Balanço Patrimonial Ativo;REAL;MILHAR;PENÚLTIMO;2018-12-31;1.02.03;Imobilizado;435499.00
00.776.574/0001-56;2019-12-31;2;B2W - COMPANHIA DIGITAL;20990;DF Consolidado - Balanço Patrimonial Ativo;REAL;MILHAR;ÚLTIMO;2019-12-31;1.02.03;Imobilizado;660024.00
